,id,mssubclass,lotconfig,neighborhood,bldgtype,housestyle,yearbuilt,yearremod/add,roofstyle,roofmatl,masvnrtype,masvnrarea,foundation,totalbsmtsf,grlivarea,fullbath,totrmsabvgrd,garagefinish,garagecars,saletype,saleprice,agesold,total_sqft,totalqual,combined_exterior
32,2517,120,CulDSac,Veenker,TwnhsE,1Story,1995,1996,Hip,CompShg,None,0.0,PConc,1494.0,1494,1,6,3.0,2.0,WD ,270000,11,3469.0,21.0,BrkFaceBrkFace
33,1933,20,Inside,NAmes,1Fam,1Story,1952,1952,Hip,CompShg,None,0.0,CBlock,948.0,948,1,5,1.0,2.0,WD ,125000,55,2306.0,15.0,Wd SdngWd Sdng
34,820,20,Inside,CollgCr,1Fam,1Story,2007,2008,Hip,CompShg,Stone,336.0,PConc,1705.0,1718,2,7,2.0,3.0,WD ,297000,2,4249.0,21.0,VinylSdVinylSd
35,675,20,Inside,NAmes,1Fam,1Story,1958,1958,Flat,Tar&Grv,BrkFace,82.0,CBlock,160.0,1142,1,5,2.0,1.0,WD ,113500,51,1686.0,16.0,Wd SdngWd Sdng
36,2910,160,Inside,MeadowV,TwnhsE,2Story,1977,1977,Gable,CompShg,None,0.0,PConc,757.0,1475,2,6,2.0,1.0,WD ,127000,29,2568.0,14.0,CemntBdCemntBd
37,21,20,Inside,NWAmes,1Fam,1Story,1977,1977,Hip,CompShg,BrkFace,480.0,CBlock,1844.0,1844,2,7,2.0,2.0,COD,190000,33,4234.0,16.0,PlywoodPlywood
38,1873,20,Inside,NWAmes,1Fam,1Story,1973,1973,Hip,CompShg,BrkFace,320.0,CBlock,1242.0,1242,1,6,1.0,2.0,WD ,175500,34,3012.0,16.0,HdBoardHdBoard
39,2125,20,Inside,CollgCr,1Fam,1Story,1994,1994,Gable,CompShg,None,0.0,PConc,990.0,990,1,5,1.0,1.0,WD ,146000,13,2364.0,15.0,VinylSdVinylSd
40,1489,20,Inside,Edwards,1Fam,1Story,1965,1965,Gable,CompShg,None,0.0,CBlock,1256.0,1256,1,6,3.0,1.0,WD ,147500,43,2788.0,15.0,HdBoardHdBoard
41,2383,20,Inside,NridgHt,1Fam,1Story,2006,2006,Gable,CompShg,None,0.0,PConc,2076.0,2076,2,7,3.0,3.0,New,465000,0,5002.0,25.0,VinylSdVinylSd
42,983,85,Corner,Mitchel,1Fam,SFoyer,1978,1978,Gable,CompShg,BrkFace,104.0,PConc,1097.0,1110,1,4,3.0,2.0,WD ,165500,31,2809.0,16.0,PlywoodPlywood
43,1325,50,Inside,OldTown,1Fam,1.5Fin,1954,1954,Gable,CompShg,BrkFace,335.0,BrkTil,1050.0,1795,2,7,1.0,1.0,WD ,131500,54,3197.0,14.0,MetalSdMetalSd
44,1378,20,Inside,Sawyer,1Fam,1Story,1965,1965,Hip,CompShg,None,0.0,CBlock,1040.0,1040,1,5,1.0,1.0,WD ,129500,43,2464.0,14.0,HdBoardHdBoard
45,1537,70,Inside,Crawfor,1Fam,2Story,1935,1950,Gable,CompShg,Stone,40.0,PConc,608.0,1873,1,9,3.0,2.0,WD ,257076,73,3267.0,17.0,BrkFaceStucco
46,905,50,Inside,Edwards,1Fam,1.5Fin,1941,1960,Gable,CompShg,None,0.0,CBlock,984.0,1604,2,6,1.0,2.0,WD ,117000,68,3248.0,14.0,Wd SdngWd Sdng
47,1532,70,Inside,Crawfor,1Fam,2Story,1931,2000,Gable,CompShg,None,0.0,BrkTil,776.0,1502,1,6,2.0,1.0,WD ,149000,77,2548.0,17.0,StuccoWdShing
48,132,20,Inside,NAmes,1Fam,1Story,1954,1954,Gable,CompShg,Stone,110.0,CBlock,1056.0,1063,1,6,2.0,1.0,WD ,128000,56,2399.0,14.0,HdBoardHdBoard
49,1078,160,Inside,NridgHt,Twnhs,2Story,2003,2004,Gable,CompShg,Stone,106.0,PConc,764.0,1626,2,6,2.0,2.0,WD ,155000,5,2864.0,19.0,VinylSdWdShing
50,2511,160,Inside,Somerst,TwnhsE,2Story,2000,2000,Gable,CompShg,BrkFace,513.0,PConc,756.0,1524,2,4,1.0,2.0,WD ,166000,6,2720.0,18.0,MetalSdMetalSd
51,912,50,Inside,SWISU,1Fam,1.5Fin,1928,1950,Gable,CompShg,None,0.0,BrkTil,1122.0,1981,2,7,1.0,2.0,WD ,135000,81,3679.0,14.0,WdShingPlywood
52,2351,60,Inside,NWAmes,1Fam,2Story,1978,1978,Gable,CompShg,BrkFace,184.0,CBlock,1392.0,2784,3,12,2.0,2.0,WD ,250000,28,4740.0,18.0,PlywoodPlywood
53,330,160,Inside,MeadowV,Twnhs,2Story,1970,1970,Gable,CompShg,None,0.0,CBlock,546.0,1092,1,5,0.0,0.0,WD ,76000,40,1638.0,13.0,CemntBdCemntBd
54,2586,20,Corner,NAmes,1Fam,1Story,1951,1951,Hip,CompShg,BrkFace,522.0,CBlock,216.0,1575,1,5,1.0,2.0,WD ,155000,55,2191.0,16.0,Wd SdngWd Sdng
55,224,60,Corner,Sawyer,1Fam,2Story,1969,1969,Gable,CompShg,Stone,143.0,CBlock,663.0,1352,1,7,3.0,1.0,WD ,158000,41,2314.0,15.0,HdBoardHdBoard
56,98,160,Inside,Somerst,Twnhs,2Story,2004,2005,Gable,CompShg,None,0.0,PConc,600.0,1200,2,4,2.0,2.0,WD ,149500,6,2280.0,19.0,MetalSdMetalSd
57,2565,20,Inside,NAmes,1Fam,1Story,1954,1975,Gable,CompShg,None,0.0,CBlock,936.0,936,1,5,1.0,1.0,WD ,121000,52,2112.0,14.0,MetalSdMetalSd
58,1934,20,Inside,NAmes,1Fam,1Story,1953,1953,Hip,CompShg,None,0.0,CBlock,1040.0,1040,1,6,3.0,1.0,WD ,136000,54,2373.0,15.0,Wd SdngWd Sdng
59,997,60,Corner,Gilbert,1Fam,2Story,1996,1996,Gable,CompShg,None,0.0,PConc,916.0,1636,2,7,3.0,2.0,WD ,173000,12,2938.0,16.0,HdBoardHdBoard
60,64,60,CulDSac,NoRidge,1Fam,2Story,1999,2007,Gable,CompShg,BrkFace,348.0,PConc,1152.0,2270,2,9,3.0,3.0,WD ,290000,11,4093.0,20.0,VinylSdVinylSd
61,1799,60,Inside,Somerst,1Fam,2Story,2007,2007,Gable,CompShg,None,0.0,PConc,1184.0,2610,2,11,3.0,2.0,New,303477,0,4344.0,21.0,CemntBdCemntBd
62,230,20,Inside,ClearCr,1Fam,1Story,1977,2001,Hip,CompShg,None,0.0,CBlock,1420.0,1483,1,4,2.0,2.0,WD ,270000,33,3593.0,18.0,Wd SdngWd Sdng
63,1295,50,Corner,OldTown,1Fam,1.5Fin,1920,1950,Gable,CompShg,None,0.0,BrkTil,936.0,1740,1,6,1.0,1.0,WD ,122250,88,2901.0,15.0,WdShingWdShing
64,638,20,Inside,NAmes,1Fam,1Story,1955,1955,Gable,CompShg,None,0.0,CBlock,1382.0,1382,1,6,1.0,1.0,WD ,153000,54,3114.0,15.0,AsbShngAsbShng
65,2278,20,Inside,Mitchel,1Fam,1Story,2007,2007,Gable,CompShg,None,0.0,PConc,1120.0,1120,1,6,0.0,0.0,New,147000,0,2240.0,15.0,VinylSdVinylSd
66,2202,70,Inside,Crawfor,1Fam,2Story,1930,1995,Gable,CompShg,None,0.0,BrkTil,531.0,1098,1,5,1.0,1.0,WD ,148500,77,1845.0,17.0,Wd SdngWd Sdng
67,2833,160,Inside,Edwards,TwnhsE,2Story,2004,2004,Gable,CompShg,Stone,117.0,PConc,976.0,1708,2,7,1.0,2.0,WD ,130000,2,3064.0,19.0,VinylSdVinylSd
68,1707,20,Corner,NridgHt,1Fam,1Story,2006,2006,Hip,CompShg,Stone,510.0,PConc,1802.0,1802,2,7,3.0,3.0,WD ,372000,1,4447.0,24.0,MetalSdMetalSd
69,2428,120,Inside,Blmngtn,TwnhsE,1Story,2005,2005,Gable,CompShg,BrkFace,145.0,PConc,1362.0,1506,2,6,3.0,2.0,WD ,213490,1,3308.0,19.0,VinylSdVinylSd
70,242,20,Inside,Edwards,1Fam,1Story,2009,2010,Gable,CompShg,Stone,96.0,PConc,1508.0,1508,1,5,2.0,2.0,Con,308030,1,3588.0,19.0,VinylSdVinylSd
71,1564,20,Inside,Mitchel,1Fam,1Story,1996,1997,Gable,CompShg,BrkFace,668.0,PConc,1840.0,2032,3,7,3.0,3.0,WD ,300000,12,4658.0,20.0,MetalSdMetalSd
72,2613,20,Corner,NAmes,1Fam,1Story,1959,1959,Hip,CompShg,None,0.0,CBlock,655.0,1194,1,6,3.0,2.0,WD ,159500,47,2388.0,15.0,BrkFaceBrkFace
73,2832,160,Inside,Edwards,Twnhs,2Story,2004,2004,Gable,CompShg,Stone,50.0,PConc,970.0,1709,2,7,1.0,2.0,WD ,137500,2,3059.0,19.0,VinylSdVinylSd
74,2459,20,Inside,Somerst,1Fam,1Story,2005,2005,Gable,CompShg,BrkFace,228.0,PConc,1616.0,1616,2,7,2.0,3.0,WD ,232000,1,4066.0,19.0,VinylSdVinylSd
75,1360,30,Inside,IDOTRR,1Fam,1Story,1930,1950,Gable,CompShg,None,0.0,BrkTil,768.0,768,1,4,1.0,2.0,WD ,93850,78,1976.0,16.0,StuccoWdShing
76,2723,30,Inside,Sawyer,1Fam,1Story,1924,1950,Gable,CompShg,Stone,65.0,BrkTil,872.0,872,1,5,1.0,1.0,WD ,105000,82,2066.0,13.0,BrkFaceWd Sdng
77,1350,30,Inside,BrkSide,1Fam,1Story,1927,1950,Gable,CompShg,None,0.0,BrkTil,520.0,520,1,4,1.0,1.0,WD ,68500,81,1280.0,12.0,MetalSdMetalSd
78,136,90,Corner,NAmes,Duplex,2Story,1960,1960,Gable,CompShg,BrkFace,361.0,CBlock,1105.0,2274,2,12,1.0,2.0,WD ,154300,50,3859.0,14.0,MetalSdMetalSd
79,2235,50,Inside,IDOTRR,1Fam,1.5Fin,1925,2003,Gable,CompShg,None,0.0,BrkTil,936.0,1601,2,6,0.0,0.0,WD ,129850,82,2537.0,15.0,VinylSdVinylSd
80,1993,70,Inside,OldTown,1Fam,2Story,1910,1950,Gable,CompShg,None,0.0,BrkTil,616.0,1232,1,6,1.0,2.0,WD ,114000,97,2328.0,14.0,MetalSdMetalSd
81,367,20,CulDSac,StoneBr,1Fam,1Story,2008,2009,Hip,CompShg,Stone,748.0,PConc,2216.0,2234,2,9,3.0,3.0,New,501837,1,5616.0,24.0,VinylSdVinylSd
82,1309,50,Inside,OldTown,1Fam,1.5Fin,1915,1950,Gable,CompShg,None,0.0,BrkTil,876.0,1416,1,7,1.0,3.0,WD ,153900,93,3012.0,14.0,Wd SdngWd Sdng
83,402,20,FR2,NAmes,1Fam,1Story,1971,2006,Gable,CompShg,None,0.0,CBlock,864.0,864,1,5,1.0,2.0,WD ,130000,38,2304.0,13.0,VinylSdVinylSd
84,1592,120,FR2,Mitchel,TwnhsE,1Story,1997,1997,Hip,CompShg,BrkFace,197.0,PConc,1189.0,1189,2,4,2.0,2.0,WD ,160500,11,2770.0,17.0,VinylSdVinylSd
85,2409,120,Inside,NridgHt,TwnhsE,1Story,2006,2006,Hip,CompShg,BrkFace,572.0,PConc,1666.0,1666,2,6,2.0,2.0,New,310090,0,3907.0,23.0,MetalSdMetalSd
86,539,20,Inside,SawyerW,1Fam,1Story,2003,2003,Gable,CompShg,None,0.0,PConc,1176.0,1200,2,5,2.0,2.0,WD ,184900,6,2931.0,19.0,VinylSdVinylSd
87,1940,20,Inside,NAmes,1Fam,1Story,1956,2000,Hip,CompShg,None,0.0,CBlock,928.0,928,1,4,1.0,1.0,WD ,132000,51,2108.0,15.0,Wd SdngWd Sdng
88,588,20,Inside,NWAmes,1Fam,1Story,1969,1969,Gable,CompShg,BrkFace,128.0,CBlock,1288.0,1336,2,6,2.0,2.0,WD ,163000,40,3126.0,15.0,HdBoardHdBoard
89,96,160,Inside,Somerst,TwnhsE,2Story,2004,2004,Gable,CompShg,BrkFace,120.0,PConc,600.0,1200,2,4,2.0,2.0,ConLD,155000,6,2280.0,19.0,MetalSdMetalSd
90,1187,80,Inside,NWAmes,1Fam,SLvl,1969,1969,Gable,CompShg,None,0.0,CBlock,1427.0,1427,2,7,2.0,2.0,WD ,183000,39,3370.0,15.0,MetalSdMetalSd
91,2154,60,Corner,CollgCr,1Fam,2Story,1996,2002,Gable,CompShg,BrkFace,254.0,PConc,860.0,1992,2,7,2.0,2.0,WD ,211000,11,3460.0,19.0,VinylSdVinylSd
92,550,60,Inside,SawyerW,1Fam,2Story,1994,1994,Gable,CompShg,None,0.0,PConc,754.0,1540,2,6,2.0,2.0,WD ,184000,15,2789.0,19.0,VinylSdVinylSd
93,811,90,Inside,SawyerW,Duplex,1Story,1979,1979,Gable,CompShg,None,0.0,Slab,0.0,1535,2,8,1.0,2.0,WD ,118858,30,1935.0,11.0,HdBoardHdBoard
94,124,80,Corner,NAmes,1Fam,SLvl,1964,1964,Hip,CompShg,BrkFace,86.0,PConc,1152.0,1152,1,6,2.0,2.0,WD ,180500,46,2788.0,14.0,Wd SdngHdBoard
95,1836,120,Inside,Somerst,TwnhsE,1Story,2006,2007,Gable,CompShg,Stone,30.0,PConc,1141.0,1151,2,5,3.0,2.0,New,166000,1,2776.0,20.0,VinylSdVinylSd
96,779,80,Inside,Sawyer,1Fam,SLvl,1960,1960,Hip,CompShg,BrkFace,54.0,CBlock,1138.0,1138,1,6,2.0,2.0,COD,148000,49,2756.0,15.0,Wd SdngWd Sdng
97,1886,20,Inside,NAmes,1Fam,1Story,1956,1956,Hip,CompShg,None,0.0,CBlock,894.0,1074,1,6,1.0,2.0,WD ,124000,51,2364.0,15.0,Wd SdngWd Sdng
98,1724,120,Inside,NridgHt,TwnhsE,1Story,2005,2005,Hip,CompShg,BrkFace,246.0,PConc,1561.0,1561,2,6,3.0,2.0,WD ,277500,2,3678.0,24.0,MetalSdMetalSd
99,2450,60,Inside,NoRidge,1Fam,2Story,1995,1995,Hip,CompShg,BrkFace,397.0,PConc,1342.0,2726,2,9,2.0,3.0,WD ,350000,11,4793.0,20.0,VinylSdVinylSd
100,1013,20,CulDSac,StoneBr,1Fam,1Story,2004,2004,Hip,CompShg,BrkFace,296.0,PConc,1884.0,1884,2,7,3.0,3.0,WD ,387000,4,4438.0,24.0,VinylSdVinylSd
101,2084,30,Inside,Edwards,1Fam,1Story,1920,2002,Gable,CompShg,None,0.0,BrkTil,528.0,605,1,5,0.0,0.0,WD ,86000,87,1133.0,13.0,Wd SdngWd Sdng
102,1184,20,Inside,Veenker,1Fam,1Story,1976,2007,Gable,CompShg,None,0.0,CBlock,1426.0,1671,3,6,2.0,2.0,WD ,290000,32,3647.0,22.0,VinylSdVinylSd
103,728,30,Corner,IDOTRR,1Fam,1Story,1900,1950,Mansard,CompShg,None,0.0,CBlock,245.0,797,1,5,0.0,0.0,WD ,44000,109,1042.0,11.0,AsbShngAsbShng
104,950,60,CulDSac,Mitchel,1Fam,2Story,2001,2002,Gable,CompShg,None,0.0,PConc,804.0,1961,2,7,3.0,2.0,WD ,215000,8,3325.0,18.0,VinylSdVinylSd
105,2524,190,Corner,NWAmes,2fmCon,1Story,1972,1972,Gable,CompShg,BrkFace,144.0,CBlock,1153.0,1193,2,6,3.0,2.0,WD ,146500,34,2847.0,15.0,PlywoodPlywood
106,2513,160,FR2,Somerst,Twnhs,2Story,2000,2000,Gable,CompShg,None,0.0,PConc,673.0,1382,2,6,1.0,2.0,WD ,165000,6,2545.0,19.0,MetalSdMetalSd
107,2028,50,Inside,OldTown,1Fam,1.5Fin,1916,1950,Gable,CompShg,None,0.0,BrkTil,714.0,2526,2,10,1.0,1.0,CWD,136000,91,3456.0,16.0,StuccoStucco
108,2309,20,CulDSac,NAmes,1Fam,1Story,1957,1957,Gable,CompShg,Stone,902.0,CBlock,1705.0,1390,1,4,1.0,2.0,WD ,252000,49,3645.0,18.0,Wd SdngWd Sdng
109,51,160,Inside,NridgHt,Twnhs,2Story,2003,2003,Gable,CompShg,Stone,106.0,PConc,764.0,1626,2,6,2.0,2.0,WD ,175500,7,2864.0,19.0,VinylSdWdShing
110,699,70,Inside,OldTown,1Fam,2Story,1939,1950,Gable,CompShg,None,0.0,BrkTil,690.0,1558,1,7,1.0,2.0,WD ,150000,70,2648.0,14.0,Wd SdngWd Sdng
111,1881,20,Inside,NAmes,1Fam,1Story,1960,1978,Hip,CompShg,None,0.0,CBlock,978.0,1422,1,6,2.0,1.0,WD ,139900,47,2686.0,14.0,Wd SdngWd Sdng
112,1345,50,Inside,BrkSide,1Fam,1.5Fin,1930,1992,Gable,CompShg,None,0.0,PConc,1078.0,1573,2,8,1.0,2.0,WD ,162900,78,3011.0,14.0,MetalSdMetalSd
113,166,20,Corner,NAmes,1Fam,1Story,1962,1962,Hip,CompShg,BrkFace,261.0,CBlock,1116.0,1116,1,5,1.0,2.0,WD ,160000,48,2672.0,15.0,Wd SdngWd Sdng
114,781,20,Corner,Sawyer,1Fam,1Story,1947,1950,Gable,CompShg,None,0.0,Slab,0.0,660,1,5,0.0,0.0,WD ,63900,62,660.0,7.0,Wd SdngWd Sdng
115,379,20,Inside,NWAmes,1Fam,1Story,1978,1998,Gable,CompShg,BrkFace,144.0,PConc,1140.0,1707,2,7,3.0,2.0,WD ,184000,31,3326.0,15.0,HdBoardHdBoard
116,2818,20,Inside,Edwards,1Fam,1Story,1959,1959,Gable,CompShg,BrkFace,132.0,CBlock,1466.0,1466,1,6,3.0,2.0,WD ,149900,47,3460.0,13.0,HdBoardPlywood
117,1168,120,Inside,Somerst,TwnhsE,1Story,2000,2000,Hip,CompShg,BrkFace,260.0,PConc,1614.0,1638,2,5,3.0,2.0,WD ,300000,8,3747.0,22.0,MetalSdMetalSd
118,1396,190,Corner,ClearCr,1Fam,1Story,1960,1960,Flat,Tar&Grv,Stone,275.0,CBlock,988.0,1721,2,7,1.0,2.0,WD ,145000,48,3335.0,14.0,PlywoodPlywood
119,838,60,Inside,CollgCr,1Fam,2Story,1997,1997,Gable,CompShg,None,0.0,PConc,928.0,1764,2,7,2.0,2.0,WD ,231500,12,3162.0,17.0,VinylSdVinylSd
120,1492,30,Inside,Edwards,1Fam,1Story,1940,1969,Gable,CompShg,None,0.0,CBlock,996.0,996,1,6,0.0,0.0,WD ,108000,68,1992.0,14.0,WdShingWdShing
121,637,20,Inside,NAmes,1Fam,1Story,1956,1956,Gable,CompShg,None,0.0,CBlock,1202.0,1202,1,6,2.0,1.0,COD,120000,53,2708.0,14.0,BrkFaceBrkFace
122,1826,20,Inside,Sawyer,1Fam,1Story,1961,1961,Hip,CompShg,BrkFace,57.0,CBlock,988.0,988,1,5,1.0,2.0,WD ,128500,46,2548.0,14.0,Wd SdngWd Sdng
123,173,30,Inside,OldTown,1Fam,1Story,1927,1950,Gable,CompShg,None,0.0,CBlock,1008.0,1028,1,5,1.0,2.0,WD ,115000,83,2396.0,14.0,WdShingWdShing
124,715,50,Inside,OldTown,1Fam,1.5Fin,1947,1950,Gable,CompShg,None,0.0,CBlock,720.0,1284,1,5,1.0,1.0,WD ,110000,62,2244.0,14.0,AsbShngAsbShng
125,1183,60,CulDSac,Veenker,1Fam,2Story,1977,1977,Mansard,CompShg,BrkFace,1050.0,CBlock,994.0,2944,2,9,2.0,3.0,WD ,150000,31,4802.0,21.0,Wd SdngWd Sdng
126,2433,60,Inside,Gilbert,1Fam,2Story,2004,2004,Gable,CompShg,None,0.0,PConc,707.0,1414,2,6,3.0,2.0,WD ,178000,2,2524.0,21.0,VinylSdVinylSd
127,2866,70,Inside,Crawfor,1Fam,2Story,1932,1990,Gable,CompShg,None,0.0,BrkTil,637.0,1609,1,8,1.0,3.0,WD ,199500,74,2825.0,17.0,Wd SdngWd Sdng
128,2311,60,Inside,Gilbert,1Fam,2Story,1997,1998,Gable,CompShg,None,0.0,PConc,813.0,1525,2,6,3.0,2.0,WD ,183500,9,2738.0,15.0,VinylSdVinylSd
129,1551,80,Inside,IDOTRR,1Fam,SLvl,1967,1967,Hip,CompShg,None,0.0,CBlock,624.0,1656,1,7,1.0,1.0,WD ,126000,41,2568.0,14.0,HdBoardPlywood
130,1049,120,Inside,NPkVill,Twnhs,1Story,1977,1977,Gable,CompShg,None,0.0,CBlock,1055.0,1055,2,4,1.0,2.0,WD ,148500,31,2550.0,17.0,PlywoodBrk Cmn
131,657,60,Inside,OldTown,1Fam,2Story,1939,2006,Gable,CompShg,None,0.0,BrkTil,676.0,1352,2,7,1.0,2.0,WD ,149000,70,2748.0,15.0,VinylSdVinylSd
132,414,160,Inside,NPkVill,Twnhs,2Story,1977,1977,Gable,CompShg,None,0.0,CBlock,855.0,1456,2,6,1.0,2.0,WD ,137900,32,2751.0,16.0,PlywoodBrk Cmn
133,1181,120,CulDSac,Veenker,TwnhsE,1Story,1993,1993,Gable,CompShg,None,0.0,PConc,1719.0,1719,1,6,3.0,2.0,Con,324000,15,3911.0,20.0,BrkFaceBrkFace
134,1514,30,Inside,Edwards,1Fam,1Story,1925,1950,Gable,CompShg,None,0.0,CBlock,864.0,864,1,5,0.0,0.0,WD ,98000,83,1728.0,14.0,StuccoStucco
